,name,height,weight,bday,exp,college
0,Darrell Arthur,6-9,235,"March 25, 1988",7,University of Kansas
1,Will Barton,6-6,175,"January 6, 1991",4,University of Memphis
2,Malik Beasley,6-5,196,"November 26, 1996",0,Florida State University
3,Wilson Chandler,6-8,225,"May 10, 1987",8,DePaul University
4,Kenneth Faried,6-8,228,"November 19, 1989",5,Morehead State University
5,Danilo Gallinari,6-10,225,"August 8, 1988",7,
6,Alonzo Gee,6-6,225,"May 29, 1987",7,University of Alabama
7,Gary Harris,6-4,210,"September 14, 1994",2,Michigan State University
8,Juan Hernangomez,6-9,230,"September 28, 1995",0,
9,Roy Hibbert,7-2,270,"December 11, 1986",8,Georgetown University
10,Nikola Jokic,6-10,250,"February 19, 1995",1,
11,Mike Miller,6-8,218,"February 19, 1980",16,University of Florida
12,Emmanuel Mudiay,6-5,200,"March 5, 1996",1,
13,Jamal Murray,6-4,207,"February 23, 1997",0,University of Kentucky
14,Jameer Nelson,6-0,190,"February 9, 1982",12,Saint Joseph's University
15,Jusuf Nurkic,7-0,280,"August 23, 1994",2,
16,Johnny O'Bryant,6-9,257,"June 1, 1993",2,Louisiana State University
17,Mason Plumlee,6-11,245,"March 5, 1990",3,Duke University
18,Jarnell Stokes,6-9,263,"January 7, 1994",2,University of Tennessee
