,Team,Name,Height,Weight,Birthdate,Experience,College
0,New Orleans Pelicans,Anthony Davis,6-10,253,"March 11, 1993",5,University of Kentucky
1,New Orleans Pelicans,DeMarcus Cousins,6-11,270,"August 13, 1990",7,University of Kentucky
2,New Orleans Pelicans,Alexis Ajinca,7-2,248,"May 6, 1988",7,
3,New Orleans Pelicans,Omer Asik,7-0,255,"July 4, 1986",7,
4,New Orleans Pelicans,E'Twaun Moore,6-4,191,"February 28, 1989",6,Purdue University
5,New Orleans Pelicans,Cheick Diallo,6-9,220,"September 13, 1996",1,University of Kansas
6,New Orleans Pelicans,Solomon Hill,6-7,225,"March 18, 1991",4,University of Arizona
7,New Orleans Pelicans,Jrue Holiday,6-4,205,"June 12, 1990",8,"University of California, Los Angeles"
8,New Orleans Pelicans,Frank Jackson,6-4,202,"May 4, 1998",0,Duke University
9,New Orleans Pelicans,Rajon Rondo,6-1,186,"February 22, 1986",11,University of Kentucky
10,New Orleans Pelicans,Darius Miller,6-8,235,"March 21, 1990",3,University of Kentucky
11,New Orleans Pelicans,Ian Clark,6-3,175,"March 7, 1991",4,Belmont University
12,New Orleans Pelicans,Tony Allen,6-4,213,"January 11, 1982",13,Oklahoma State University
13,New Orleans Pelicans,Dante Cunningham,6-8,230,"April 22, 1987",8,Villanova University
14,New Orleans Pelicans,Charles Cooke  (TW),6-5,196,"July 1, 1994",0,University of Dayton
15,New Orleans Pelicans,Jameer Nelson,6-0,190,"February 9, 1982",13,Saint Joseph's University
16,New Orleans Pelicans,Jalen Jones  (TW),6-7,223,"May 27, 1993",0,Texas A&M University
