,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Oklahoma City Thunder,2017-2018,Paul George,6-9,220,"May 2, 1990",7,"California State University, Fresno"
1,Oklahoma City Thunder,2017-2018,Carmelo Anthony,6-8,240,"May 29, 1984",14,Syracuse University
2,Oklahoma City Thunder,2017-2018,Russell Westbrook,6-3,200,"November 12, 1988",9,"University of California, Los Angeles"
3,Oklahoma City Thunder,2017-2018,Steven Adams,7-0,255,"July 20, 1993",4,University of Pittsburgh
4,Oklahoma City Thunder,2017-2018,Jerami Grant,6-8,210,"March 12, 1994",3,Syracuse University
5,Oklahoma City Thunder,2017-2018,Kyle Singler,6-8,228,"May 4, 1988",5,Duke University
6,Oklahoma City Thunder,2017-2018,Josh Huestis,6-7,230,"December 19, 1991",2,Stanford University
7,Oklahoma City Thunder,2017-2018,Alex Abrines,6-6,190,"August 1, 1993",1,
8,Oklahoma City Thunder,2017-2018,Patrick Patterson,6-9,230,"March 14, 1989",7,University of Kentucky
9,Oklahoma City Thunder,2017-2018,Raymond Felton,6-1,205,"June 26, 1984",12,University of North Carolina
10,Oklahoma City Thunder,2017-2018,Andre Roberson,6-7,210,"December 4, 1991",4,University of Colorado
11,Oklahoma City Thunder,2017-2018,Dakari Johnson,7-0,255,"September 22, 1995",0,University of Kentucky
12,Oklahoma City Thunder,2017-2018,Nick Collison,6-10,255,"October 26, 1980",13,University of Kansas
13,Oklahoma City Thunder,2017-2018,Terrance Ferguson,6-7,184,"May 17, 1998",0,
14,Oklahoma City Thunder,2017-2018,PJ Dozier  (TW),6-7,201,"October 25, 1996",0,University of South Carolina
15,Oklahoma City Thunder,2017-2018,Daniel Hamilton  (TW),6-7,195,"August 8, 1995",0,University of Connecticut
